x,Velocity
-0.00655,-0.011208
0,-0.00026
0.07344,0.127732
0.08144,0.117896
0.15344,0.233958
0.16143,0.233602
0.2361,0.320841
0.43608,0.572966
0.61474,0.636899
0.76673,0.636243
0.88672,0.624112
1.00938,0.613949
1.14804,0.613621
1.34003,0.61526
1.53468,0.619522
1.708,0.620506
1.87333,0.622801
2.02532,0.627719
2.15864,0.630997
2.31063,0.634932
2.44663,0.637227
2.56928,0.636899
2.70528,0.632965
2.81727,0.62608
2.94526,0.619522
3.06792,0.611654
3.15591,0.601818
3.27591,0.596572
3.40923,0.597884
3.52389,0.593949
3.66522,0.595916
3.79321,0.594605
3.90787,0.599851
4.04652,0.600179
4.15852,0.602801
4.29184,0.605096
4.40384,0.606408
4.54783,0.604769
4.63582,0.608375
4.78515,0.607392
4.89447,0.611982
5.0038,0.612965
5.10513,0.612965
5.20112,0.612309
5.33178,0.613621
5.4491,0.619194
5.5851,0.62444
5.72642,0.623785
5.84908,0.622473
5.9664,0.62444
6.08373,0.622801
6.16639,0.617227
6.26239,0.618211
6.36905,0.618539
6.51304,0.624112
6.6357,0.622801
6.73969,0.621162
6.84368,0.61526
6.99034,0.616572
7.105,0.614277
7.24632,0.609687
7.37432,0.614604
7.48098,0.613621
7.56897,0.611654
7.68363,0.612309
7.80362,0.614932
